,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
0,0.13432,0.12017,0.072489,0.1649,0.04881,0.85421,-0.013345
1,0.13004,0.11031,0.072489,0.1501,0.012964,0.64998,-0.0064392
2,0.11491,0.082026,0.062623,0.12478,-0.0087413,0.6513,-0.0008485
3,0.099456,0.042562,0.044864,0.096167,-0.019594,0.80915,0.0014536
4,0.087617,0.0047422,0.026776,0.070845,-0.028802,1.0397,0.00079584
5,0.084986,-0.024527,0.013622,0.048482,-0.048863,1.2117,-0.0011774
6,0.090577,-0.042615,0.0093464,0.025132,-0.081421,1.1985,-0.0061104
7,0.094194,-0.051165,0.010004,0.0001381,-0.12187,0.94037,-0.013345
8,0.090577,-0.053467,0.01132,-0.022225,-0.16495,0.47469,-0.021567
9,0.079395,-0.04689,0.013293,-0.038668,-0.20343,-0.087669,-0.027487
10,0.06361,-0.023869,0.013951,-0.045246,-0.23138,-0.60629,-0.029131
11,0.046508,0.014937,0.011977,-0.04097,-0.24421,-0.97397,-0.025514
12,0.029407,0.065912,0.012306,-0.028144,-0.23599,-1.1608,-0.019923
13,0.01132,0.11886,0.017239,-0.015976,-0.20244,-1.2009,-0.012688
14,-0.0041372,0.16654,0.022501,-0.0090702,-0.14029,-1.1539,-0.0054526
15,-0.01203,0.20535,0.021843,-0.0097279,-0.05281,-1.0884,-0.0018351
16,-0.01203,0.22475,0.018884,-0.014661,0.045193,-1.0739,-0.00019077
17,-0.0038083,0.21916,0.018555,-0.020581,0.13037,-1.1581,0.00046697
18,0.0096753,0.18825,0.023817,-0.024856,0.18562,-1.3091,0.0017824
19,0.018226,0.14583,0.029407,-0.022554,0.2139,-1.3716,0.0073732
20,0.015266,0.10538,0.033025,-0.0087413,0.23429,-1.1095,0.016253
21,0.0014536,0.072818,0.036314,0.014608,0.26718,-0.35931,0.028092
22,-0.016305,0.050455,0.040918,0.041247,0.31848,0.7835,0.036314
23,-0.028473,0.036314,0.044864,0.062294,0.37406,1.9444,0.035656
24,-0.029789,0.026776,0.049797,0.070516,0.40464,2.7251,0.027763
25,-0.021896,0.018226,0.055059,0.061636,0.39149,2.8863,0.014937
26,-0.0097279,0.0077021,0.059334,0.040918,0.33624,2.4255,0.0040845
27,0.0040845,-0.0064392,0.059334,0.018555,0.25468,1.5465,-0.002164
28,0.014937,-0.017621,0.05473,0.00046697,0.1672,0.52994,0.00046697
29,0.01987,-0.024856,0.041575,-0.011701,0.083342,-0.38266,0.0083598
30,0.019212,-0.028802,0.024474,-0.017621,0.0060577,-1.0697,0.018226
31,0.015595,-0.035051,0.0090175,-0.01795,-0.059387,-1.5423,0.025132
32,0.011648,-0.043601,-0.004466,-0.011372,-0.11036,-1.8583,0.030065
33,0.013951,-0.053467,-0.014661,-0.0047949,-0.14687,-2.0632,0.033354
34,0.023159,-0.064978,-0.024198,-0.0024928,-0.16693,-2.1572,0.038287
