,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
0,-0.35076,-0.23829,-0.0097279,-0.049192,0.45299,0.061965,0.024474,0.0090175
1,-0.27841,-0.17087,0.010333,0.0093464,0.37866,0.073147,0.031052,-0.0018351
2,-0.19916,-0.029789,0.026776,0.058019,0.27145,0.072818,0.033683,-0.0080836
3,-0.10082,0.15438,0.036314,0.092221,0.17575,0.065912,0.027434,-0.011043
4,0.032696,0.3244,0.036971,0.1159,0.14221,0.059992,0.013951,-0.014003
5,0.20338,0.42767,0.031709,0.13925,0.19187,0.065912,-0.0008485,-0.016305
6,0.39313,0.44575,0.028092,0.16885,0.31355,0.084986,-0.0074258,-0.020909
7,0.57303,0.39708,0.032367,0.20963,0.48193,0.11195,-0.0008485,-0.027158
8,0.71279,0.30039,0.042562,0.25929,0.65426,0.13596,0.011977,-0.038339
9,0.79238,0.18036,0.056046,0.30072,0.78186,0.14747,0.023488,-0.051823
10,0.80126,0.06361,0.068543,0.31256,0.82757,0.14221,0.029736,-0.063991
11,0.73417,-0.031433,0.072489,0.28592,0.78778,0.12478,0.02579,-0.074844
12,0.60361,-0.092603,0.067556,0.22903,0.69043,0.10242,0.012964,-0.076488
13,0.44115,-0.096549,0.056703,0.16095,0.57401,0.085644,-0.0064392,-0.069253
14,0.29711,-0.010057,0.05177,0.10702,0.4622,0.082026,-0.020252,-0.057743
15,0.20864,0.1991,0.058019,0.089261,0.35499,0.096496,-0.025842,-0.052152
16,0.18858,0.50528,0.078737,0.1159,0.22475,0.12675,-0.022554,-0.055112
17,0.2162,0.81343,0.10801,0.16885,0.048153,0.16128,-0.014332,-0.067937
18,0.26159,1.0173,0.13563,0.21292,-0.17252,0.18957,-0.0018351,-0.087012
19,0.30302,1.0857,0.15503,0.22015,-0.41358,0.20206,0.012306,-0.10707
20,0.33986,1.0742,0.1649,0.18693,-0.63951,0.20075,0.023159,-0.1245
21,0.37801,1.0594,0.16293,0.12642,-0.81512,0.18792,0.023817,-0.14062
22,0.4155,1.0561,0.15142,0.061307,-0.91378,0.16326,0.011648,-0.15114
